timestamp,x,y,z
0,2.26,2.84,-10.13
10,2.22,2.85,-10.02
20,2.15,2.89,-9.87
30,2.05,2.94,-9.85
40,1.91,2.94,-9.86
50,1.72,2.97,-9.9
60,1.55,2.94,-9.91
70,1.48,2.93,-9.91
80,1.56,2.94,-9.91
90,1.7,3.04,-10.0
100,1.82,3.13,-10.09
110,1.99,3.21,-10.13
120,2.16,3.29,-10.11
130,2.22,3.27,-10.11
140,2.28,3.24,-10.11
150,2.33,3.24,-10.08
160,2.52,3.22,-10.14
170,2.58,3.18,-10.2
180,2.49,3.23,-10.29
190,2.34,3.3,-10.44
200,2.23,3.37,-10.53
210,2.2,3.45,-10.44
220,2.26,3.49,-10.32
230,2.25,3.52,-10.24
240,2.2,3.49,-10.14
250,2.07,3.49,-10.16
260,1.78,3.56,-10.5
270,1.27,3.7,-11.11
280,0.51,3.79,-11.72
290,-0.5,3.83,-12.12
300,-1.61,3.8,-12.05
310,-3.09,3.68,-11.58
320,-4.85,3.53,-11.34
330,-6.67,3.28,-11.26
340,-8.55,2.92,-11.08
350,-10.04,2.35,-10.57
360,-12.2,1.4,-9.36
370,-12.96,0.63,-8.16
380,-12.76,-0.12,-7.37
390,-11.64,-0.47,-7.97
400,-9.85,-0.79,-8.66
410,-8.43,-0.99,-8.95
420,-7.07,-1.3,-8.29
430,-5.29,-1.66,-6.88
440,-2.98,-1.92,-5.33
450,-0.28,-2.11,-4.34
460,1.37,-2.36,-3.19
470,2.36,-2.6,-1.98
480,3.38,-2.78,-1.01
490,4.38,-2.94,-0.4
500,5.41,-3.13,0.06
510,6.62,-3.42,0.78
520,7.61,-3.66,1.51
530,8.07,-3.82,1.73
540,7.86,-3.68,0.67
550,6.9,-3.58,-0.78
560,5.72,-3.66,-1.53
570,5.34,-4.01,-1.67
580,5.69,-4.95,-1.21
590,6.46,-6.01,-1.12
600,7.46,-6.96,-2.46
610,8.25,-7.57,-5.04
620,8.81,-8.12,-8.6
630,10.1,-8.96,-11.11
640,11.46,-9.84,-12.91
650,12.69,-10.65,-14.77
660,15.04,-10.96,-18.15
670,14.03,-10.59,-21.64
680,14.77,-10.55,-25.04
690,15.52,-9.92,-28.58
700,17.42,-9.26,-31.52
710,18.57,-8.84,-33.54
720,17.14,-9.2,-33.76
730,12.32,-9.91,-32.01
740,6.89,-10.89,-29.59
750,2.9,-11.47,-28.34
760,-0.95,-11.82,-28.0
770,-4.14,-11.7,-28.27
780,-6.42,-11.09,-27.95
790,-6.16,-10.55,-27.44
800,-6.68,-10.57,-26.23
810,-7.47,-10.73,-25.45
820,-10.16,-10.74,-24.73
830,-12.55,-10.94,-23.02
840,-13.97,-10.9,-20.21
850,-14.58,-10.71,-17.59
860,-13.77,-9.84,-16.08
870,-11.53,-8.69,-16.3
880,-8.19,-7.82,-15.72
890,-5.74,-7.03,-15.24
900,-5.15,-6.32,-14.11
910,-6.17,-6.17,-12.48
920,-7.62,-5.86,-11.21
930,-8.44,-5.28,-10.82
940,-8.88,-4.58,-10.9
950,-8.33,-3.95,-10.6
960,-7.43,-3.66,-10.22
970,-5.55,-3.42,-9.64
980,-4.81,-3.0,-9.46
990,-1.98,-2.61,-8.16
1000,2.62,-2.55,-5.88
