timestamp,x,y,z
0,2.28,2.47,-11.92
10,2.19,2.55,-12.13
20,2.11,2.64,-12.37
30,2.03,2.75,-12.57
40,1.97,2.85,-12.74
50,1.98,3.06,-12.75
60,1.95,3.24,-12.7
70,1.93,3.43,-12.63
80,1.87,3.55,-12.58
90,1.76,3.65,-12.6
100,1.6,3.69,-12.66
110,1.41,3.57,-12.68
120,1.14,3.49,-12.65
130,0.84,3.55,-12.48
140,0.57,3.59,-12.11
150,0.28,3.59,-11.54
160,-0.11,3.52,-10.98
170,-0.53,3.47,-10.34
180,-0.95,3.38,-9.49
190,-1.46,3.22,-8.35
200,-2.03,3.04,-6.95
210,-2.71,2.7,-5.34
220,-3.23,2.38,-3.27
230,-3.86,2.28,-1.23
240,-4.71,2.09,0.96
250,-5.89,1.35,3.0
260,-7.24,0.74,4.01
270,-8.05,-0.41,7.53
280,-8.93,-1.39,8.8
290,-9.36,-2.37,9.7
300,-9.36,-3.02,9.61
310,-8.97,-3.54,8.51
320,-8.73,-4.13,6.66
330,-8.43,-5.12,4.43
340,-7.94,-6.2,0.78
350,-7.02,-6.96,-1.95
360,-6.17,-7.76,-6.24
370,-4.66,-7.94,-9.17
380,-3.09,-7.42,-11.62
390,-2.0,-7.13,-13.37
400,-1.2,-6.82,-14.72
410,-1.14,-5.84,-16.05
420,-1.79,-6.17,-17.09
430,-2.28,-6.38,-17.86
440,-2.51,-6.32,-19.16
450,-2.41,-5.89,-20.86
460,-1.84,-5.4,-22.44
470,-0.94,-4.78,-23.7
480,0.01,-4.15,-24.43
490,0.79,-3.47,-24.65
500,1.31,-2.77,-24.59
510,1.36,-2.16,-24.31
520,1.14,-1.6,-23.75
530,0.76,-0.92,-22.79
540,0.53,-0.38,-22.18
550,-0.06,0.16,-21.19
560,-0.51,0.76,-20.32
570,-0.78,1.02,-19.37
580,-1.2,1.19,-18.47
590,-1.8,1.07,-17.78
600,-2.54,0.65,-17.48
610,-3.32,0.26,-17.64
620,-3.92,-0.07,-18.15
630,-4.11,-0.29,-18.79
640,-3.93,-0.49,-19.2
650,-3.53,-0.47,-19.14
660,-3.2,-0.55,-18.62
670,-3.12,-0.88,-17.76
680,-3.13,-1.19,-16.71
690,-3.23,-1.44,-15.54
700,-3.44,-1.65,-14.35
710,-3.46,-1.8,-13.15
720,-3.39,-1.91,-12.04
730,-3.12,-2.13,-11.1
740,-2.63,-2.06,-10.21
750,-2.03,-1.87,-9.44
760,-1.47,-1.66,-8.75
770,-0.98,-1.43,-8.05
780,-0.54,-1.21,-7.39
790,-0.25,-1.09,-6.77
800,0.02,-0.96,-6.25
810,0.3,-0.75,-5.82
820,0.56,-0.51,-5.37
830,0.82,-0.22,-4.88
840,0.98,0.05,-4.49
850,1.09,0.3,-4.17
860,1.15,0.53,-3.91
870,1.21,0.67,-3.73
880,1.32,0.78,-3.64
890,1.45,0.9,-3.65
900,1.58,1.06,-3.77
910,1.75,1.21,-3.97
920,1.94,1.41,-4.32
930,2.14,1.65,-4.8
940,2.27,1.91,-5.18
950,2.29,2.11,-5.5
960,2.18,2.26,-5.83
970,1.97,2.36,-6.11
980,1.71,2.48,-6.34
990,1.45,2.56,-6.55
1000,1.24,2.66,-6.76
