timestamp,x,y,z
0,2.53,3.23,-9.93
10,1.71,3.22,-9.88
20,0.6,3.5,-9.62
30,-0.71,3.96,-9.22
40,-2.39,4.4,-8.93
50,-4.2,4.82,-8.61
60,-5.96,5.09,-8.52
70,-7.55,5.27,-8.27
80,-8.78,5.26,-8.14
90,-9.57,5.14,-7.61
100,-9.96,5.13,-7.07
110,-10.25,5.15,-6.52
120,-10.48,5.11,-6.09
130,-10.73,4.96,-5.79
140,-10.89,4.87,-5.73
150,-10.95,4.9,-5.75
160,-10.72,4.9,-5.88
170,-10.21,4.88,-5.95
180,-9.51,4.79,-6.05
190,-8.88,4.5,-6.06
200,-8.54,3.96,-5.86
210,-8.33,3.41,-5.37
220,-8.29,2.83,-4.57
230,-8.35,2.42,-3.49
240,-8.37,2.16,-2.63
250,-8.34,1.99,-2.24
260,-8.15,1.77,-2.31
270,-7.5,1.4,-2.21
280,-6.02,0.6,-2.07
290,-7.01,0.46,-3.94
300,-5.86,-0.41,-3.81
310,-4.76,-1.0,-4.22
320,-3.48,-1.34,-4.84
330,-1.88,-1.65,-5.86
340,0.1,-2.07,-7.33
350,2.54,-2.4,-9.2
360,5.44,-2.98,-11.77
370,8.69,-3.44,-14.58
380,11.76,-4.01,-17.16
390,14.19,-4.69,-19.45
400,16.15,-5.28,-21.53
410,17.64,-5.7,-23.5
420,18.72,-5.71,-24.62
430,19.14,-5.69,-24.42
440,18.69,-5.74,-22.79
450,16.91,-5.89,-19.3
460,15.07,-6.05,-16.4
470,12.86,-6.13,-13.61
480,10.46,-6.37,-11.55
490,8.09,-6.62,-10.19
500,5.68,-6.85,-9.29
510,2.67,-7.03,-8.78
520,-0.28,-7.01,-8.47
530,-4.19,-6.19,-8.58
540,-8.26,-5.03,-8.69
550,-12.14,-3.57,-9.23
560,-15.49,-2.55,-9.81
570,-14.87,-2.37,-5.39
580,-18.33,-1.07,-7.85
590,-19.17,0.04,-9.05
600,-18.82,0.82,-9.63
610,-18.26,1.14,-9.67
620,-18.0,1.41,-9.49
630,-18.32,1.68,-8.95
640,-19.69,2.04,-7.75
650,-21.42,2.33,-6.85
660,-22.7,2.76,-6.56
670,-23.02,2.9,-6.8
680,-22.29,2.56,-7.07
690,-20.55,2.11,-7.19
700,-18.4,1.55,-7.5
710,-15.79,0.97,-7.7
720,-13.69,0.27,-7.68
730,-11.8,-0.39,-7.64
740,-9.65,-1.2,-7.63
750,-7.82,-1.94,-7.6
760,-5.85,-2.76,-8.14
770,-4.86,-2.87,-11.02
780,-2.45,-3.69,-8.73
790,-1.54,-3.35,-12.6
800,0.04,-3.51,-12.12
810,1.23,-3.71,-12.12
820,2.17,-4.18,-12.62
830,2.94,-4.44,-13.66
840,3.51,-4.55,-14.96
850,3.91,-4.53,-16.19
860,4.13,-4.36,-17.06
870,4.13,-4.1,-17.62
880,3.92,-3.83,-17.96
890,3.5,-3.51,-18.19
900,3.06,-3.02,-18.09
910,2.61,-2.56,-17.37
920,2.07,-2.12,-16.11
930,1.27,-1.75,-14.56
940,0.27,-1.29,-13.1
950,-0.78,-0.85,-11.82
960,-1.6,-0.41,-10.8
970,-2.38,-0.06,-9.96
980,-2.95,0.31,-9.43
990,-3.48,0.64,-9.1
1000,-3.86,1.01,-8.75
